Frames,RightFootEE,,,RightToeBase,,,RightFoot,,,RightLeg,,,RightUpLeg,,,LeftFootEE,,,LeftToeBase,,,LeftFoot,,,LeftLeg,,,LeftUpLeg,,,RightHandEE,,,RightHand,,,RightForeArm,,,RightArm,,,RightShoulder,,,LeftHandEE,,,LeftHand,,,LeftForeArm,,,LeftArm,,,LeftShoulder,,,HeadEE,,,Head,,,Neck,,,Spine4,,,Spine3,,,Spine2,,,Spine1,,,Spine,,,Hips,,,
493,-2221.92,-1721.06,-3003.7,-2262.8,-1678.71,-2941.13,-2331.91,-1553,-2905.5,-2267.18,-1253.69,-3207.95,-2390.92,-825.197,-3042.79,-2529.74,-1680.32,-3478.37,-2533.83,-1719.42,-3401.99,-2526.64,-1699.75,-3255.67,-2541.66,-1270.45,-3228.55,-2560.36,-834.019,-3040.47,-2303.62,-825.198,-3142.27,-2297.09,-746.405,-3097.23,-2248.2,-549.969,-2951.66,-2349.06,-294.1,-2919.86,-2500.3,-275.637,-2992.1,-2766.29,-937.682,-3123.38,-2792.2,-854.535,-3097.02,-2778.68,-625.108,-3000.34,-2730.55,-356.988,-2950.87,-2581.58,-289.965,-2992.72,-2595.27,0.707153,-2933.14,-2562.74,-164.089,-2969.89,-2547.72,-248.609,-2965.65,-2534.25,-323.383,-2930.44,-2509.24,-464.791,-2942.11,-2495.61,-558.465,-2964.32,-2487.45,-636.382,-2987.01,-2479.1,-746.461,-2978.09,-2476.79,-801.892,-3020.45,
494,-2221.43,-1708.06,-3042.49,-2269.52,-1670.41,-2982.08,-2347.42,-1549.6,-2947.67,-2266.5,-1241.13,-3236.73,-2391.87,-822.086,-3049.99,-2529.41,-1679.66,-3479.17,-2533.57,-1719.05,-3402.95,-2526.44,-1699.98,-3256.55,-2541.2,-1270.68,-3229.39,-2561.36,-829.352,-3053.26,-2304.05,-817.311,-3153.51,-2299.26,-740.265,-3105.33,-2252.19,-545.917,-2956.41,-2352.69,-289.726,-2926.12,-2500.82,-270.944,-3004.49,-2772.01,-920.705,-3178.3,-2798.16,-840.012,-3145.37,-2787.93,-616.84,-3034.66,-2733.38,-352.016,-2975.12,-2582.02,-285.309,-3007.89,-2596.21,5.46118,-2946.99,-2563.62,-159.32,-2983.75,-2549.17,-243.94,-2979.51,-2536.82,-318.809,-2944.1,-2511.35,-460.186,-2955.15,-2497.16,-553.906,-2976.81,-2488.63,-631.929,-2998.99,-2481.42,-741.991,-2988.93,-2478.22,-797.81,-3030.73,
495,-2221.1,-1696.43,-3084.33,-2275.01,-1663.99,-3025.84,-2360.19,-1548.26,-2991.21,-2265.5,-1228.54,-3263.35,-2392.52,-819.016,-3057.56,-2528.75,-1679.6,-3479,-2533.35,-1719.14,-3402.89,-2526.86,-1700.41,-3256.4,-2540.71,-1271.03,-3230.07,-2561.86,-824.966,-3066.45,-2304.16,-809.69,-3163.77,-2301.1,-734.192,-3113.07,-2255.77,-542.034,-2960.8,-2356.69,-285.81,-2932.25,-2501.06,-266.651,-3017.26,-2774.43,-901.375,-3233.21,-2801.24,-824.106,-3193.33,-2795.62,-608.368,-3068.46,-2735.07,-347.436,-2998.46,-2582.09,-281.037,-3023.42,-2596.03,10.1031,-2962.17,-2563.91,-154.891,-2998.39,-2550.29,-239.634,-2993.9,-2539.08,-314.511,-2958.12,-2513.22,-455.884,-2968.26,-2498.48,-549.667,-2989.26,-2489.55,-627.791,-3010.93,-2483.4,-737.836,-3000.01,-2479.26,-793.939,-3041.34,
496,-2219.96,-1686.18,-3129.46,-2278.61,-1659.47,-3072.67,-2370.05,-1549.15,-3036.36,-2264.21,-1216.39,-3288,-2392.65,-815.692,-3066.32,-2527.18,-1679.43,-3479.06,-2532.72,-1719.16,-3403.1,-2527.72,-1700.86,-3256.51,-2540.29,-1271.39,-3231.05,-2561.63,-820.622,-3080.89,-2304.17,-802.58,-3173.4,-2302.48,-728.503,-3120.58,-2259.16,-538.221,-2965.39,-2360.85,-282.142,-2938.28,-2501.24,-262.444,-3029.59,-2773.68,-879.717,-3287.28,-2801.8,-806.922,-3240.49,-2801.87,-599.667,-3101.88,-2736.04,-343.201,-3020.98,-2582,-276.878,-3038.56,-2595.24,14.6071,-2976.77,-2563.95,-150.648,-3012.52,-2551.29,-235.532,-3007.87,-2541.23,-310.488,-2971.91,-2514.9,-451.812,-2981.52,-2499.54,-545.589,-3002.11,-2490.13,-623.741,-3023.47,-2484.9,-733.786,-3012.08,-2479.73,-790.033,-3053.1,
497,-2218.74,-1677.46,-3177.05,-2281.01,-1656.65,-3121.65,-2377.41,-1551.79,-3082.18,-2262.23,-1205.4,-3310.23,-2392.69,-812.411,-3076.28,-2524.99,-1679.23,-3478.93,-2531.85,-1719.1,-3403.15,-2528.99,-1701.19,-3256.45,-2540.05,-1271.59,-3232.35,-2561.13,-816.354,-3096.31,-2303.88,-796.174,-3182.75,-2303.61,-723.368,-3128.17,-2262.47,-534.734,-2970.4,-2365.02,-278.878,-2944.45,-2501.34,-258.422,-3041.57,-2770.55,-856.351,-3339.56,-2800.17,-788.567,-3286.57,-2806.43,-590.639,-3135.07,-2736.41,-339.225,-3042.65,-2581.75,-272.888,-3053.27,-2593.8,18.9119,-2991,-2563.69,-146.674,-3026.23,-2552.12,-231.707,-3021.44,-2543.15,-306.801,-2985.48,-2516.37,-448.049,-2994.94,-2500.4,-541.766,-3015.33,-2490.51,-619.893,-3036.56,-2486.17,-729.964,-3025.05,-2479.99,-786.243,-3065.88,
498,-2217.06,-1669.75,-3227.63,-2281.83,-1655.02,-3173.15,-2381.96,-1555.82,-3128.63,-2260.09,-1195.58,-3330.2,-2392.57,-809.377,-3086.3,-2524.85,-1679.19,-3479.01,-2532.31,-1719.14,-3403.33,-2530.35,-1701.48,-3256.58,-2540.1,-1271.75,-3234.52,-2560.2,-812.546,-3112.36,-2303.31,-790.62,-3192.16,-2304.5,-719.006,-3136.03,-2265.55,-531.777,-2976.05,-2368.87,-276.157,-2950.84,-2501.29,-254.635,-3053,-2765.32,-832.264,-3389,-2796.44,-769.147,-3331.31,-2809.15,-581.123,-3168.05,-2736.2,-335.324,-3063.59,-2581.23,-268.978,-3067.68,-2591.6,22.995,-3004.53,-2562.99,-142.944,-3039.34,-2552.74,-228.145,-3034.56,-2545.06,-303.512,-2998.88,-2517.94,-444.674,-3008.66,-2501.37,-538.293,-3029.02,-2490.92,-616.365,-3050.19,-2487.44,-726.448,-3038.51,-2480.07,-782.79,-3079.06,
499,-2214.7,-1662.77,-3280.78,-2281.03,-1654.2,-3226.88,-2383.79,-1561.07,-3175.72,-2257.77,-1187.35,-3348.07,-2392.8,-806.724,-3096.91,-2523.31,-1678.63,-3479.42,-2531.82,-1718.69,-3403.91,-2531.52,-1701.32,-3257.12,-2539.72,-1271.43,-3237.55,-2559.56,-809.006,-3128.16,-2302.48,-785.973,-3201.57,-2305.11,-715.431,-3144.15,-2268.32,-529.371,-2982.3,-2372.44,-274.043,-2957.45,-2501.16,-251.225,-3063.96,-2758.31,-808.296,-3435.41,-2790.99,-749.145,-3374.48,-2809.74,-571.244,-3200.79,-2735.7,-331.547,-3083.68,-2580.61,-265.385,-3081.24,-2588.81,26.7292,-3017.51,-2562.01,-139.62,-3051.82,-2553.12,-224.972,-3047.01,-2546.59,-300.621,-3011.7,-2519.2,-441.69,-3022.06,-2502.15,-535.202,-3042.52,-2491.29,-613.206,-3063.73,-2488.67,-723.313,-3052.05,-2480.34,-779.681,-3092.37,
500,-2210.93,-1655.85,-3335.66,-2278.11,-1653.58,-3282.18,-2382.67,-1567.32,-3223.23,-2255.74,-1180.67,-3363.39,-2393.51,-804.755,-3106.68,-2524.13,-1678.54,-3479.76,-2532.78,-1718.48,-3404.21,-2532.53,-1700.93,-3257.44,-2539.41,-1270.84,-3242.24,-2559.38,-806.275,-3142.37,-2301.46,-782.33,-3211.04,-2305.34,-712.688,-3152.6,-2270.8,-527.629,-2989.11,-2375.65,-272.547,-2964.8,-2500.72,-248.27,-3075.27,-2749.99,-784.855,-3478.63,-2784.12,-728.864,-3415.54,-2808.28,-560.88,-3232.88,-2734.82,-327.794,-3102.78,-2579.72,-262.108,-3094.71,-2584.95,30.2155,-3031.09,-2560.41,-136.646,-3064.58,-2552.99,-222.13,-3059.62,-2547.57,-298.013,-3024.63,-2520.2,-439.047,-3035.49,-2502.91,-532.527,-3055.9,-2491.8,-610.542,-3076.93,-2490.08,-720.615,-3064.78,-2480.99,-777.215,-3104.61,
501,-2204.5,-1648.25,-3391.28,-2272.12,-1652.43,-3338.48,-2378.12,-1574.12,-3271.54,-2254.35,-1175.47,-3376.5,-2394.49,-803.298,-3115.65,-2523.8,-1678.99,-3479.59,-2532.74,-1718.61,-3403.9,-2532.95,-1700.49,-3257.2,-2539.13,-1270.22,-3248.2,-2559.53,-804.288,-3154.99,-2300.14,-779.262,-3220.56,-2305.31,-710.612,-3161.06,-2272.79,-526.411,-2996.2,-2378.3,-271.5,-2972.95,-2500.06,-245.913,-3086.77,-2740.91,-762.189,-3519.06,-2775.98,-708.899,-3454.18,-2804.96,-550.464,-3263.85,-2733.79,-324.235,-3120.99,-2578.69,-259.361,-3107.93,-2580.44,33.2993,-3045.53,-2558.39,-134.174,-3077.67,-2552.48,-219.75,-3072.28,-2548.15,-295.747,-3037.38,-2521.05,-436.822,-3048.41,-2503.71,-530.349,-3068.56,-2492.47,-608.437,-3089.26,-2491.56,-718.444,-3076.44,-2481.86,-775.343,-3115.69,
502,-2194.65,-1638.99,-3447.68,-2262.45,-1649.72,-3396.04,-2369.79,-1580.48,-3321.65,-2253.61,-1171.42,-3388.19,-2395.39,-802.128,-3124.15,-2523.57,-1679,-3480.26,-2532.6,-1718.43,-3404.48,-2532.91,-1700.02,-3257.82,-2538.39,-1269.65,-3254.89,-2559.51,-802.682,-3167.19,-2298.59,-776.814,-3229.79,-2305.06,-708.979,-3169.48,-2274.2,-525.495,-3003.51,-2380.03,-270.585,-2981.76,-2499.15,-243.792,-3098.07,-2730.92,-740.316,-3556.44,-2767.12,-689.483,-3490.22,-2800.25,-540.226,-3293.26,-2732.36,-320.826,-3138.64,-2577.37,-256.803,-3120.96,-2576.03,36.0242,-3059.45,-2556.2,-131.943,-3090.43,-2551.67,-217.582,-3084.72,-2548.45,-293.719,-3050,-2521.68,-434.835,-3061.29,-2504.32,-528.415,-3081.18,-2492.97,-606.588,-3101.49,-2492.91,-716.5,-3087.84,-2482.6,-773.77,-3126.4,
503,-2181.06,-1627.71,-3503.04,-2248.91,-1644.81,-3453.21,-2357.74,-1585.39,-3372.76,-2253.81,-1168.54,-3399.07,-2396.07,-801.397,-3132.31,-2524.78,-1679.78,-3480.83,-2533.11,-1718.87,-3404.8,-2532.19,-1699.85,-3258.21,-2537.75,-1269.49,-3262.8,-2559.29,-801.885,-3178.7,-2296.8,-774.985,-3238.95,-2304.57,-707.772,-3178.11,-2274.98,-525.321,-3010.76,-2381.01,-270.321,-2991.13,-2497.66,-242.232,-3109.61,-2720.29,-718.778,-3591.16,-2757.44,-670.58,-3523.51,-2794.56,-530.519,-3320.6,-2730.47,-317.568,-3155.68,-2575.52,-254.673,-3134,-2571,38.2301,-3073.31,-2553.35,-130.171,-3103.24,-2550.19,-215.85,-3097.23,-2548.12,-292.118,-3062.71,-2521.94,-433.327,-3074.24,-2504.73,-526.999,-3093.82,-2493.31,-605.288,-3113.64,-2494.02,-715.061,-3098.93,-2483.13,-772.781,-3136.65,
504,-2163.15,-1615.03,-3553.22,-2231.57,-1637.97,-3506.64,-2343.11,-1588.35,-3423.29,-2255.12,-1167.29,-3408.39,-2397.13,-800.997,-3140.33,-2525.01,-1679.78,-3480.9,-2532.87,-1718.82,-3404.79,-2531.14,-1699.7,-3258.23,-2536.83,-1269.47,-3269.24,-2559.36,-801.05,-3190.06,-2294.48,-773.498,-3248.06,-2303.75,-706.775,-3186.89,-2275.56,-525.662,-3017.86,-2380.42,-269.945,-3001.54,-2495.33,-241.047,-3121.53,-2708.91,-697.743,-3623.15,-2747.09,-652.19,-3554.25,-2788.06,-521.578,-3345.86,-2727.8,-314.389,-3172.38,-2572.81,-252.836,-3147.4,-2565.18,40.2518,-3088.71,-2549.59,-128.649,-3116.92,-2547.78,-214.321,-3110.27,-2547.07,-290.565,-3075.65,-2521.82,-431.971,-3086.83,-2504.94,-525.812,-3105.87,-2493.64,-604.255,-3125.14,-2495.3,-713.911,-3109.66,-2483.93,-771.986,-3146.68,
505,-2142.27,-1600.28,-3599.62,-2211.37,-1628.52,-3557.12,-2326.21,-1588.48,-3473.1,-2257.75,-1167.21,-3417.41,-2397.8,-800.692,-3148.62,-2526.75,-1680.49,-3480.55,-2533.84,-1719.27,-3404.23,-2530.47,-1699.7,-3257.75,-2535.24,-1269.72,-3276.45,-2558.93,-800.617,-3201.78,-2291.68,-772.551,-3257.48,-2302.43,-706.43,-3195.89,-2275.69,-526.667,-3025.2,-2378.95,-270.101,-3012.43,-2492.19,-240.048,-3133.7,-2696.59,-676.932,-3652.64,-2735.86,-634.143,-3582.59,-2780.68,-513.407,-3369.1,-2724.41,-311.068,-3188.7,-2569.28,-250.996,-3161.07,-2558.63,42.0503,-3103.6,-2544.99,-127.23,-3130.52,-2544.49,-212.887,-3123.47,-2545.28,-289.181,-3088.95,-2521.22,-430.797,-3100.08,-2504.78,-524.806,-3118.69,-2493.6,-603.403,-3137.39,-2496.22,-712.899,-3120.94,-2484.32,-771.403,-3157.11,
506,-2119.75,-1583.85,-3642.18,-2189.44,-1616.74,-3604.22,-2307.75,-1585.71,-3521.23,-2261.16,-1168.32,-3427.08,-2398.21,-800.515,-3158.5,-2527.81,-1680.76,-3480.13,-2534.39,-1719.35,-3403.67,-2529.75,-1699.5,-3257.27,-2533.06,-1269.88,-3283.09,-2558.26,-799.878,-3214.85,-2288.52,-772.058,-3267.32,-2300.48,-706.425,-3205.44,-2275.31,-528.188,-3032.91,-2376.39,-270.611,-3023.44,-2488.24,-239.222,-3145.67,-2683.53,-656.098,-3680.39,-2723.85,-617.069,-3608.76,-2771.94,-506.167,-3390.69,-2720.19,-307.656,-3204.76,-2564.93,-249.254,-3174.45,-2551.57,43.6045,-3118.03,-2539.64,-125.989,-3143.76,-2540.33,-211.617,-3136.37,-2542.62,-287.983,-3102.09,-2519.83,-429.796,-3113.39,-2503.94,-523.938,-3131.79,-2493,-602.642,-3150.19,-2496.68,-712.038,-3133.28,-2484.38,-770.81,-3168.88,
507,-2097.61,-1565.68,-3680.45,-2167.46,-1602.76,-3646.92,-2288.89,-1580.3,-3565.68,-2265.54,-1170.32,-3436.72,-2398.35,-800.46,-3168.85,-2527.66,-1681.76,-3478.71,-2534.34,-1719.89,-3402.03,-2529.57,-1699.3,-3255.73,-2531.01,-1270.24,-3289.72,-2557.23,-799.335,-3228.41,-2285.17,-772.108,-3277.85,-2297.7,-706.665,-3215.88,-2274.29,-530.323,-3041.17,-2373.04,-271.756,-3034.51,-2483.2,-238.687,-3157.83,-2669.38,-635.955,-3706.03,-2710.92,-600.679,-3633.16,-2761.9,-499.46,-3411.07,-2715.01,-303.967,-3220.71,-2559.49,-247.577,-3188.04,-2542.77,44.9999,-3132.89,-2532.91,-124.928,-3157.26,-2534.98,-210.499,-3149.47,-2539,-286.914,-3115.46,-2517.88,-428.965,-3127.01,-2502.71,-523.259,-3145.24,-2492.1,-602.076,-3163.35,-2496.87,-711.372,-3146.07,-2484.15,-770.389,-3181.11,
508,-2074.41,-1546.97,-3712.82,-2144.64,-1587.48,-3684.46,-2269.74,-1572.51,-3607.16,-2269.9,-1172.81,-3447.49,-2397.13,-800.351,-3180.5,-2526.59,-1683,-3478.44,-2533.96,-1720.55,-3401.54,-2529.99,-1699.07,-3255.35,-2528.46,-1270.7,-3297.18,-2554.9,-798.94,-3242.94,-2281.75,-772.414,-3289.47,-2294.01,-707.232,-3227.18,-2272.51,-532.705,-3050.41,-2368.89,-273.204,-3045.67,-2477.85,-238.248,-3169.52,-2654.67,-617.015,-3730.27,-2697.14,-585.601,-3656.18,-2750.32,-493.457,-3430.68,-2709.35,-300.497,-3236.41,-2553.73,-246.044,-3201.03,-2534.27,46.0273,-3146.32,-2526.13,-124.117,-3169.79,-2529.33,-209.641,-3161.88,-2534.84,-286.236,-3128.49,-2515.06,-428.401,-3140.96,-2500.47,-522.748,-3159.39,-2490.07,-601.608,-3177.43,-2495.73,-710.822,-3159.9,-2482.59,-770.038,-3194.45,
509,-2051.87,-1528.91,-3739.92,-2122.37,-1572.14,-3716.69,-2250.92,-1563.51,-3644.25,-2273.6,-1175.56,-3459.21,-2395.15,-800.415,-3193.35,-2524.85,-1684.45,-3478.57,-2533.18,-1721.21,-3401.38,-2530.63,-1698.4,-3255.35,-2526.36,-1270.89,-3305.07,-2551.84,-798.268,-3258.4,-2278.17,-772.978,-3302.15,-2289.43,-707.898,-3239.56,-2269.79,-535.224,-3060.77,-2363.64,-274.789,-3056.67,-2471.76,-237.918,-3180.71,-2639.35,-599.479,-3752.84,-2682.76,-572.083,-3677.7,-2737.85,-488.12,-3449.49,-2702.73,-297.098,-3252.18,-2547.22,-244.649,-3213.44,-2525.23,46.8191,-3159.17,-2518.72,-123.519,-3181.73,-2522.95,-208.987,-3173.71,-2529.81,-285.795,-3141.06,-2511.18,-428.001,-3154.78,-2497.13,-522.344,-3173.64,-2486.99,-601.2,-3191.85,-2493.62,-710.38,-3174.46,-2480.21,-769.688,-3208.74,
510,-2029.84,-1511.01,-3763.1,-2100.44,-1556.45,-3744.95,-2232.21,-1553.23,-3678.04,-2276.42,-1177.53,-3472.74,-2391.49,-799.717,-3207.76,-2523.55,-1685.52,-3480.66,-2532.74,-1721.31,-3403.12,-2531.21,-1696.81,-3257.36,-2523.91,-1270.27,-3314.49,-2547.24,-796.888,-3275.04,-2274.14,-773.6,-3315.68,-2283.94,-708.411,-3252.95,-2266.1,-537.257,-3072.52,-2357.41,-275.933,-3067.51,-2465.6,-237.076,-3190.87,-2623.81,-583.878,-3773.47,-2668.04,-560.204,-3697.56,-2724.5,-483.165,-3467.25,-2695.68,-293.393,-3267.73,-2540.67,-242.854,-3224.67,-2516.86,47.8455,-3170.1,-2511.57,-122.596,-3192.2,-2516.57,-208.034,-3184.3,-2524.45,-285.182,-3152.7,-2506.48,-427.28,-3168.31,-2492.71,-521.488,-3188.03,-2482.66,-600.233,-3206.75,-2489.97,-709.463,-3189.96,-2476.23,-768.689,-3224.25,
511,-2009.18,-1497.56,-3778.89,-2080.28,-1544.01,-3766.07,-2215.41,-1543.89,-3706.14,-2277.65,-1179.01,-3486.5,-2387.8,-799.093,-3222.44,-2524.63,-1686.82,-3482.31,-2533.94,-1721.37,-3404.22,-2531.96,-1694.66,-3258.85,-2521.78,-1269.23,-3323.34,-2542.62,-795.134,-3291.76,-2269.45,-774.206,-3330.18,-2277.35,-708.777,-3267.44,-2261.19,-539.351,-3085.22,-2349.96,-277.191,-3078.48,-2458.15,-236.198,-3201.16,-2608.09,-570.052,-3791.83,-2653.2,-550.116,-3715.36,-2710.66,-478.449,-3483.57,-2687.45,-289.179,-3282.84,-2532.85,-240.87,-3235.92,-2506.36,49.0082,-3181.46,-2502.82,-121.565,-3202.87,-2508.82,-206.941,-3194.99,-2517.83,-284.367,-3164.39,-2500.82,-426.367,-3181.86,-2487.55,-520.463,-3202.44,-2477.79,-599.116,-3221.69,-2486.02,-708.38,-3205.56,-2472.14,-767.536,-3239.92,
512,-1992.51,-1487.49,-3793.34,-2063.77,-1534.6,-3784.36,-2201.12,-1536.58,-3729.76,-2276.75,-1179.81,-3501.17,-2383.27,-798.339,-3237.87,-2525.12,-1688.8,-3483.87,-2534.95,-1721.6,-3405.1,-2533.25,-1691.81,-3260.33,-2519.68,-1267.76,-3332.84,-2537.45,-793.12,-3308.53,-2263.96,-774.466,-3345.79,-2269.56,-709.001,-3282.84,-2255.24,-541.38,-3098.82,-2341.62,-278.497,-3089.68,-2449.67,-235.316,-3211.73,-2592.09,-558.45,-3807.75,-2638.2,-541.618,-3731.13,-2697.04,-474.2,-3498.41,-2678.44,-284.813,-3297.31,-2524.15,-238.876,-3247.12,-2494.43,50.1761,-3193.23,-2492.94,-120.532,-3213.79,-2499.98,-205.818,-3205.79,-2510.05,-283.454,-3176.06,-2494.12,-425.349,-3195.31,-2481.46,-519.332,-3216.77,-2472.09,-597.882,-3236.63,-2481.15,-707.198,-3221.3,-2467.29,-766.219,-3255.9,
513,-1979.67,-1481.96,-3806.79,-2051.14,-1529.17,-3800.35,-2189.98,-1531.74,-3749.7,-2272.53,-1179.31,-3516.81,-2378.27,-797.411,-3253.82,-2525.91,-1691.3,-3485.76,-2536.28,-1721.72,-3406.1,-2534.75,-1687.77,-3262.25,-2517.15,-1265.57,-3344.08,-2532,-790.579,-3325.3,-2257.59,-774.187,-3362.16,-2260.74,-708.684,-3299.08,-2248.43,-543.096,-3113.08,-2332.76,-279.675,-3100.82,-2440.3,-234.145,-3222.47,-2575.73,-549.031,-3821.13,-2623.13,-534.721,-3744.79,-2683.48,-470.409,-3511.58,-2668.77,-280.286,-3310.86,-2514.62,-236.625,-3258.26,-2481.53,51.557,-3204.83,-2482.18,-119.24,-3224.69,-2490.26,-204.427,-3216.63,-2501.24,-282.256,-3187.74,-2486.37,-424.009,-3208.79,-2474.39,-517.865,-3231.18,-2465.54,-596.307,-3251.69,-2475.55,-705.652,-3237.2,-2461.94,-764.547,-3272.1,
514,-1970.53,-1480.04,-3819.67,-2042.23,-1527.07,-3814.61,-2182,-1529.33,-3766.59,-2265.73,-1177.65,-3532.99,-2371.86,-795.408,-3270.65,-2528.14,-1694.13,-3488.28,-2538.69,-1721.49,-3407.54,-2536.39,-1682.41,-3265,-2513.74,-1262.59,-3357.14,-2525.51,-787.373,-3342.17,-2250.32,-773.047,-3379.05,-2251.17,-707.494,-3315.95,-2241.06,-544.404,-3127.62,-2323.57,-280.588,-3111.94,-2430.28,-232.372,-3233.28,-2558.68,-542.299,-3831.68,-2607.92,-529.312,-3756.26,-2671.1,-466.775,-3523.32,-2658.63,-275.013,-3324.01,-2504.63,-233.771,-3269.06,-2467.48,53.4536,-3215.93,-2470.65,-117.365,-3235.35,-2479.84,-202.438,-3227.27,-2491.59,-280.44,-3199.16,-2477.89,-422.018,-3222.1,-2466.62,-515.707,-3245.54,-2458.25,-593.998,-3266.82,-2468.8,-703.419,-3253.31,-2455.39,-762.067,-3288.71,
515,-1964.82,-1482.6,-3830.85,-2036.94,-1529.04,-3826.39,-2177.4,-1529.86,-3780.35,-2256.6,-1175.36,-3549.46,-2365.21,-793.332,-3287.82,-2529.16,-1697.56,-3490.66,-2540.47,-1721.29,-3408.89,-2538.55,-1676.21,-3268.12,-2510.33,-1259.17,-3370.76,-2518.71,-783.78,-3359.5,-2242.15,-770.776,-3396.64,-2241.06,-705.46,-3333.29,-2233.09,-545.667,-3142.06,-2314.05,-281.604,-3122.84,-2419.16,-230.524,-3244.41,-2541.06,-537.987,-3839.77,-2592.78,-525.549,-3765.95,-2659.47,-463.545,-3533.84,-2647.6,-269.536,-3336.68,-2493.51,-230.74,-3280.22,-2451.46,55.3656,-3226.92,-2457.72,-115.38,-3246.24,-2468.29,-200.302,-3238.26,-2480.94,-278.439,-3210.93,-2468.6,-419.832,-3235.7,-2458.17,-513.352,-3260.18,-2450.38,-591.489,-3282.23,-2461.67,-700.963,-3269.79,-2448.53,-759.359,-3305.7,
516,-1961.87,-1486.87,-3841.98,-2034.4,-1532.66,-3837.24,-2175.16,-1531.68,-3792.14,-2245.07,-1172,-3566.31,-2356.6,-790.174,-3305.62,-2530.05,-1701.48,-3494.4,-2542.58,-1720.63,-3411.61,-2541.48,-1668.17,-3273.42,-2505.43,-1254.88,-3388.09,-2510.09,-779.432,-3377.16,-2233.03,-766.945,-3414.35,-2230.7,-702.173,-3350.48,-2225.14,-545.812,-3156.35,-2304.54,-281.549,-3133.72,-2408.09,-227.849,-3255.49,-2523.03,-536.094,-3845.79,-2577.71,-523.548,-3774.15,-2648.74,-460.733,-3543.55,-2636.54,-264.119,-3349,-2482.48,-227.188,-3291.23,-2436.05,57.8094,-3237.15,-2445.14,-112.768,-3256.83,-2456.92,-197.556,-3249.14,-2470.11,-275.875,-3222.59,-2458.55,-416.989,-3249.27,-2448.61,-510.264,-3274.85,-2441.17,-588.183,-3297.78,-2452.81,-697.752,-3286.56,-2439.83,-755.786,-3323.11,
517,-1960.88,-1491.54,-3851.05,-2033.78,-1536.65,-3845.65,-2174.72,-1533.67,-3801.18,-2232.06,-1167.48,-3582.39,-2347.27,-785.846,-3323.01,-2529.19,-1706.1,-3498.34,-2543.46,-1719.61,-3414.72,-2543.9,-1658.17,-3280.27,-2498.97,-1249.86,-3408.8,-2500.81,-774.489,-3394.33,-2222.95,-761.712,-3432.05,-2220.26,-697.862,-3367.27,-2217.23,-545.075,-3170.26,-2295.04,-280.605,-3144.72,-2396.93,-224.374,-3266.75,-2505.31,-536.852,-3850.13,-2562.86,-523.318,-3780.96,-2638.09,-457.748,-3552.47,-2625.42,-257.875,-3361.31,-2471.38,-222.838,-3302.32,-2419.46,60.8937,-3247.27,-2432.11,-109.386,-3267.55,-2445.41,-193.978,-3260.18,-2459.16,-272.424,-3234.3,-2448.5,-413.271,-3262.7,-2439.04,-506.312,-3289.31,-2431.84,-584.02,-3313.02,-2443.53,-693.694,-3302.94,-2430.54,-751.343,-3340.09,
518,-1960.76,-1495.24,-3858.68,-2034.12,-1539.51,-3852.64,-2175.22,-1534.17,-3808.9,-2217,-1161.5,-3597.66,-2336.42,-780.214,-3339.67,-2528.28,-1710.67,-3503.84,-2544.13,-1717.73,-3419.72,-2545.68,-1646.41,-3290.26,-2491.73,-1243.9,-3432.85,-2489.81,-768.797,-3411.31,-2212.33,-755.274,-3449.06,-2209.94,-692.519,-3383.21,-2209.36,-542.69,-3183.92,-2285.66,-278.052,-3155.67,-2386.33,-219.868,-3277.8,-2488.24,-540.551,-3853.24,-2548.41,-524.894,-3786.8,-2627.58,-454.956,-3560.95,-2614.62,-251.591,-3373.52,-2460.75,-217.733,-3313.43,-2403.49,64.7269,-3257,-2419.72,-105.141,-3278.16,-2434.58,-189.512,-3271.22,-2448.74,-268.076,-3245.93,-2438.46,-408.643,-3275.82,-2429.11,-501.432,-3303.32,-2421.8,-578.908,-3327.75,-2433.16,-688.723,-3318.9,-2419.8,-745.912,-3356.63,
519,-1961.67,-1499,-3863.25,-2035.23,-1542.78,-3856.08,-2176.34,-1535.68,-3812.64,-2202.5,-1156.24,-3611.16,-2325.76,-774.329,-3355.92,-2526.22,-1715.15,-3507.3,-2544.18,-1714.58,-3423.3,-2547.21,-1631.97,-3300.76,-2482.13,-1237.05,-3459.05,-2478.72,-762.452,-3428.4,-2201.8,-748.357,-3464.95,-2199.6,-686.456,-3398.29,-2201.17,-539.445,-3196.91,-2276.32,-274.706,-3166.61,-2375.43,-214.87,-3289.21,-2472.15,-546.366,-3855.35,-2534.7,-528.465,-3791.73,-2616.72,-452.633,-3568.82,-2603.45,-245.165,-3385.97,-2449.66,-212.18,-3325.18,-2386.51,68.8347,-3267.03,-2406.79,-100.455,-3289.3,-2423.46,-184.526,-3282.87,-2438.15,-263.151,-3258.07,-2428.18,-403.484,-3289.14,-2418.9,-496.061,-3317.38,-2411.52,-573.333,-3342.41,-2422.81,-683.248,-3334.79,-2409.1,-740.01,-3373.04,
